2025-01-30 13:36:22.925157 | 1003 | Small Coca-Cola® Float | 2.94
2025-01-30 13:36:22.925157 | 1003 | Small Fanta® Orange Float | 2.94
2025-01-30 13:36:22.925157 | 1003 | Small Dr Pepper® Float | 2.94
2025-01-30 13:36:22.925157 | 1003 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:36:22.925157 | 1003 | Small BARQ’S® Root Beer Float | 2.94
2025-01-30 13:36:24.928351 | 1004 | Small Coca-Cola® Float | 3.99
2025-01-30 13:36:24.928351 | 1004 | Small Fanta® Orange Float | 3.99
2025-01-30 13:36:24.928351 | 1004 | Small Dr Pepper® Float | 3.99
2025-01-30 13:36:24.928351 | 1004 | Jr. Deluxe Cheeseburger | 2.49
2025-01-30 13:36:24.928351 | 1004 | Small BARQ’S® Root Beer Float | 3.99
2025-01-30 13:36:26.448661 | 1005 | Small Coca-Cola® Float | No price
2025-01-30 13:36:26.448661 | 1005 | Small Fanta® Orange Float | No price
2025-01-30 13:36:26.448661 | 1005 | Small Dr Pepper® Float | No price
2025-01-30 13:36:26.448661 | 1005 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:36:26.448661 | 1005 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:36:27.945049 | 1006 | Small Coca-Cola® Float | 4.39
2025-01-30 13:36:27.945049 | 1006 | Small Fanta® Orange Float | 4.39
2025-01-30 13:36:27.945049 | 1006 | Small Dr Pepper® Float | 4.39
2025-01-30 13:36:27.945049 | 1006 | Jr. Deluxe Cheeseburger | 3.09
2025-01-30 13:36:27.945049 | 1006 | Small BARQ’S® Root Beer Float | 4.39
2025-01-30 13:36:29.522027 | 1007 | Small Coca-Cola® Float | 4.39
2025-01-30 13:36:29.522027 | 1007 | Small Fanta® Orange Float | 4.39
2025-01-30 13:36:29.522027 | 1007 | Small Dr Pepper® Float | 4.39
2025-01-30 13:36:29.522027 | 1007 | Jr. Deluxe Cheeseburger | 3.09
2025-01-30 13:36:29.522027 | 1007 | Small BARQ’S® Root Beer Float | 4.39
2025-01-30 13:36:31.201003 | 1008 | Small Coca-Cola® Float | 4.19
2025-01-30 13:36:31.201003 | 1008 | Small Fanta® Orange Float | 4.19
